MIV;Datum Zeit;DiDok;Werk;Ort;Schaltfeld;(alt) TisID;Richtung;Linie;km_von;km_bis;U8min, mittel [kV];I8min, mittel [A];P = U*I ?  ;P8min, mittel [MW];Status Messung U;Status Messung I;Status Messung P;Anzahl beruecksichtigte Messungen U;Anzahl nicht beruecksichtigte Messungen U;Anzahl beruecksichtigte Messungen I;Anzahl nicht beruecksichtigte Messungen I;Anzahl beruecksichtigte Messungen P;Anzahl nicht beruecksichtigte Messungen P;Bemerkungen
39;11.01.2021 00:00;ZHUW;UW;Zürich;SP04;7888;Bhf Museumstrasse;711;9;11;15.65;135.74;2.12;1.14;ok;ok;ok;8;0;8;0;8;0;Richtungstext stimmt nicht ueberein !! (Urdorf)
39;11.01.2021 00:05;;;;;;;;;2.2234068;15.66;141.98;2.22;1.88;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 00:10;;;;;;;;;1.8621582;15.63;119.14;1.86;1.54;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 00:15;;;;;;;;;2.2594728;15.63;144.56;2.26;1.8;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 00:20;;;;;;;;;1.7883846;15.63;114.42;1.79;1.24;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 00:25;;;;;;;;;1.7925512;15.62;114.76;1.79;1.33;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 00:30;;;;;;;;;1.907422;15.65;121.88;1.91;1.48;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 00:35;;;;;;;;;1.283789;15.7;81.77;1.28;0.93;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 00:40;;;;;;;;;1.2472317;15.73;79.29;1.25;0.86;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 00:45;;;;;;;;;0.5877316;15.74;37.34;0.59;0.34;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 00:50;;;;;;;;;0.2601976;15.76;16.51;0.26;-0.05;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 00:55;;;;;;;;;0.9115567;15.79;57.73;0.91;0.08;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 01:00;;;;;;;;;0.7166673;15.81;45.33;0.72;0.17;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 01:05;;;;;;;;;0.805326;15.8;50.97;0.81;0.61;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 01:10;;;;;;;;;0.453173;15.79;28.7;0.45;-0.31;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 01:15;;;;;;;;;1.2420414;15.79;78.66;1.24;0.03;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 01:20;;;;;;;;;0.4708578;15.79;29.82;0.47;0.33;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 01:25;;;;;;;;;0.006794;15.8;0.43;0.01;0.01;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 01:30;;;;;;;;;0.006794;15.8;0.43;0.01;0.01;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 01:35;;;;;;;;;0;15.8;0;0.00;0;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 01:40;;;;;;;;;0;15.8;0;0.00;0;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 01:45;;;;;;;;;0;15.8;0;0.00;0;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 01:50;;;;;;;;;0;15.81;0;0.00;0;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 01:55;;;;;;;;;0;15.8;0;0.00;0;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 02:00;;;;;;;;;0;15.8;0;0.00;0;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 02:05;;;;;;;;;0;15.8;0;0.00;0;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 02:10;;;;;;;;;0;15.8;0;0.00;0;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 02:15;;;;;;;;;0;15.8;0;0.00;0;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 02:20;;;;;;;;;0;15.8;0;0.00;0;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 02:25;;;;;;;;;0;15.8;0;0.00;0;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 02:30;;;;;;;;;0;15.8;0;0.00;0;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 02:35;;;;;;;;;0;15.79;0;0.00;0;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 02:40;;;;;;;;;0;15.79;0;0.00;0;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 02:45;;;;;;;;;0;15.81;0;0.00;0;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 02:50;;;;;;;;;0;15.81;0;0.00;0;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 02:55;;;;;;;;;0;15.79;0;0.00;0;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 03:00;;;;;;;;;0;15.79;0;0.00;0;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 03:05;;;;;;;;;0;15.79;0;0.00;0;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 03:10;;;;;;;;;0;15.79;0;0.00;0;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 03:15;;;;;;;;;0;15.79;0;0.00;0;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 03:20;;;;;;;;;0;15.78;0;0.00;0;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 03:25;;;;;;;;;0;15.77;0;0.00;0;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 03:30;;;;;;;;;0;15.78;0;0.00;0;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 03:35;;;;;;;;;0;15.78;0;0.00;0;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 03:40;;;;;;;;;0;15.78;0;0.00;0;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 03:45;;;;;;;;;0;15.77;0;0.00;0;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 03:50;;;;;;;;;0;15.76;0;0.00;0;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 03:55;;;;;;;;;0;15.75;0;0.00;0;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 04:00;;;;;;;;;0;15.72;0;0.00;0;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 04:05;;;;;;;;;0;15.72;0;0.00;0;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 04:10;;;;;;;;;0;15.74;0;0.00;0;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 04:15;;;;;;;;;0;15.74;0;0.00;0;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 04:20;;;;;;;;;0;15.73;0;0.00;0;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 04:25;;;;;;;;;0;15.71;0;0.00;0;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 04:30;;;;;;;;;0.3918432;15.68;24.99;0.39;0.17;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 04:35;;;;;;;;;0.7238052;15.66;46.22;0.72;0.34;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 04:40;;;;;;;;;1.041977;15.65;66.58;1.04;0.91;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 04:45;;;;;;;;;1.4063488;15.64;89.92;1.41;1.27;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 04:50;;;;;;;;;0.5215731;15.63;33.37;0.52;0.44;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 04:55;;;;;;;;;0.362152;15.61;23.2;0.36;0.35;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 05:00;;;;;;;;;1.0418346;15.58;66.87;1.04;0.66;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 05:05;;;;;;;;;0.9670512;15.52;62.31;0.97;0.92;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 05:10;;;;;;;;;1.7461877;15.49;112.73;1.75;1.42;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 05:15;;;;;;;;;1.983729;15.51;127.9;1.98;1.51;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 05:20;;;;;;;;;2.24533;15.5;144.86;2.25;1.97;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 05:25;;;;;;;;;1.8190992;15.52;117.21;1.82;1.68;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 05:30;;;;;;;;;1.9358195;15.55;124.49;1.94;1.61;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 05:35;;;;;;;;;2.1380151;15.53;137.67;2.14;2.07;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 05:40;;;;;;;;;1.2974115;15.51;83.65;1.30;1.02;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 05:45;;;;;;;;;2.0303264;15.52;130.82;2.03;1.4;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 05:50;;;;;;;;;2.99739;15.5;193.38;3.00;2.08;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 05:55;;;;;;;;;2.9398471;15.49;189.79;2.94;1.61;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 06:00;;;;;;;;;3.5003376;15.48;226.12;3.50;2.79;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 06:05;;;;;;;;;5.7521895;15.45;372.31;5.75;5.52;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 06:10;;;;;;;;;4.317544;15.4;280.36;4.32;3.85;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 06:15;;;;;;;;;3.9425193;15.43;255.51;3.94;3.2;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 06:20;;;;;;;;;4.4235946;15.41;287.06;4.42;3.27;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 06:25;;;;;;;;;3.5962701;15.43;233.07;3.60;2.09;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 06:30;;;;;;;;;3.831761;15.46;247.85;3.83;2.53;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 06:35;;;;;;;;;5.4487515;15.45;352.67;5.45;4.69;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 06:40;;;;;;;;;6.1292486;15.37;398.78;6.13;5.26;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 06:45;;;;;;;;;5.4245341;15.37;352.93;5.42;4.44;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 06:50;;;;;;;;;5.3240538;15.34;347.07;5.32;4.72;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 06:55;;;;;;;;;3.6459828;15.38;237.06;3.65;2.79;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 07:00;;;;;;;;;5.506886;15.4;357.59;5.51;3.69;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 07:05;;;;;;;;;7.5306632;15.38;489.64;7.53;5.74;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 07:10;;;;;;;;;7.246616;15.34;472.4;7.25;6.3;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 07:15;;;;;;;;;5.8251715;15.35;379.49;5.83;5.14;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 07:20;;;;;;;;;6.978298;15.31;455.8;6.98;6.12;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 07:25;;;;;;;;;5.6695319;15.37;368.87;5.67;3.32;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 07:30;;;;;;;;;5.1456866;15.38;334.57;5.15;3.57;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 07:35;;;;;;;;;6.923182;15.31;452.2;6.92;5.95;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 07:40;;;;;;;;;6.9823584;15.24;458.16;6.98;5.52;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 07:45;;;;;;;;;7.1605534;15.22;470.47;7.16;5.88;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 07:50;;;;;;;;;6.7744803;15.33;441.91;6.77;5.48;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 07:55;;;;;;;;;5.4392877;15.39;353.43;5.44;2.96;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 08:00;;;;;;;;;5.4373185;15.45;351.93;5.44;3.47;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 08:05;;;;;;;;;6.4069845;15.37;416.85;6.41;5.62;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 08:10;;;;;;;;;7.29865;15.25;478.6;7.30;6.46;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 08:15;;;;;;;;;6.694074;15.32;436.95;6.69;4.74;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 08:20;;;;;;;;;6.642866;15.35;432.76;6.64;4.58;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 08:25;;;;;;;;;5.3224599;15.41;345.39;5.32;3.8;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 08:30;;;;;;;;;5.1019546;15.46;330.01;5.10;3.28;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 08:35;;;;;;;;;7.2591887;15.41;471.07;7.26;5.95;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 08:40;;;;;;;;;5.59946;15.32;365.5;5.60;5.11;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 08:45;;;;;;;;;5.682703;15.34;370.45;5.68;4.89;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 08:50;;;;;;;;;4.8919272;15.43;317.04;4.89;4.16;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 08:55;;;;;;;;;3.4911362;15.49;225.38;3.49;2.09;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 09:00;;;;;;;;;3.823075;15.5;246.65;3.82;2.39;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 09:05;;;;;;;;;4.7376875;15.47;306.25;4.74;4.16;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 09:10;;;;;;;;;4.1267004;15.42;267.62;4.13;2.93;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 09:15;;;;;;;;;3.2676256;15.46;211.36;3.27;2.74;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 09:20;;;;;;;;;3.468374;15.47;224.2;3.47;2.82;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 09:25;;;;;;;;;3.616925;15.5;233.35;3.62;2.08;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 09:30;;;;;;;;;2.8997568;15.52;186.84;2.90;1.87;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 09:35;;;;;;;;;3.6560664;15.48;236.18;3.66;3.42;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 09:40;;;;;;;;;3.4058154;15.42;220.87;3.41;2.52;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 09:45;;;;;;;;;3.515493;15.45;227.54;3.52;2.88;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 09:50;;;;;;;;;3.7478132;15.46;242.42;3.75;3.34;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 09:55;;;;;;;;;2.4676668;15.48;159.41;2.47;1.48;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 10:00;;;;;;;;;2.3739974;15.49;153.26;2.37;1.38;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 10:05;;;;;;;;;3.1309592;15.46;202.52;3.13;2.68;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 10:10;;;;;;;;;3.036852;15.45;196.56;3.04;2.88;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 10:15;;;;;;;;;2.6381016;15.48;170.42;2.64;1.86;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 10:20;;;;;;;;;3.0018682;15.46;194.17;3.00;2.31;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 10:25;;;;;;;;;2.6542263;15.51;171.13;2.65;1.38;ok;ok;ok;8;0;8;0;8;0;
